case_id,branch,point_index,s,theta_rad,theta_deg,reference_x,reference_y,reference_z,source_x,source_y,source_z,in_plane_residual,out_of_plane_residual,euclidean_residual
1.label,LCX,0,0.0,1.2892423874569092,73.86814757065092,10.586349687662803,217.86987295437189,87.56783052905463,13.0615234375,214.3310546875,82.95000076293945,2.5643724698147894,-5.776400255374199,6.3225051654109885
1.label,LCX,1,0.012375578883624049,1.2860530873265397,73.68541413358022,10.632790748453075,217.75185140757605,87.6833029305156,13.4384765625,214.7080078125,83.45000076293945,2.904859596508257,-5.155493187085818,5.920954649415458
1.label,LCX,2,0.02140211413218431,1.2888356191250268,73.84484146199448,10.592299449895819,217.8548241952823,87.5825542619494,13.8154296875,215.0849609375,83.45000076293945,3.3399702887084297,-4.892007295861481,5.927791276483182
1.label,LCX,3,0.030428649380744566,1.2915799673015114,74.00208103002147,10.552007467231647,217.9563315283598,87.48323923885609,14.1923828125,215.4619140625,83.45000076293945,3.775524527674079,-4.6285214046371435,5.978416492018475
1.label,LCX,4,0.04280422826436862,1.3001160371197273,74.49116180423425,10.424423761864503,218.27172076795117,87.1746606399657,14.5693359375,215.8388671875,82.95000076293945,4.309105601423027,-4.72245669047685,6.398970586289706
1.label,LCX,5,0.049186952549244975,1.3045944572937191,74.74775637909022,10.356122447772506,218.43697660985688,87.01297279549807,14.5693359375,216.2158203125,82.95000076293945,4.3856609272663105,-4.45885880634589,6.260386964450632
1.label,LCX,6,0.05556967683412134,1.3090613188365645,75.00368869316456,10.287063430653717,218.60165625889528,86.85184828957142,14.5693359375,216.5927734375,82.95000076293945,4.4632451505708834,-4.1952609222149295,6.131711191345577
1.label,LCX,7,0.06794525571774539,1.3173571893253837,75.47900705956103,10.156336652196785,218.90709204819908,86.55300522243196,14.9462890625,216.9697265625,82.45000076293945,5.0044897628315255,-4.289196208054639,6.597853795952364
1.label,LCX,8,0.07697179096630564,1.319839631824145,75.62124053762396,10.116595027027415,218.99838458314883,86.46368292639167,15.3232421875,217.3466796875,82.45000076293945,5.444100888651548,-4.025710316830302,6.7784178260993935
1.label,LCX,9,0.08757442193262957,1.329873311574592,76.19612804031046,9.953047180044564,219.36686455223023,86.1031540391112,15.3232421875,217.7236328125,81.95000076293945,5.631732639204093,-4.119533609763385,6.984832646809245
1.label,LCX,10,0.0981770528989535,1.3398457758604616,76.76750815523573,9.785873873740272,219.73225639559928,85.74564456532514,15.3232421875,218.1005859375,81.45000076293945,5.824592131037222,-4.21335690269647,7.195648129462606
1.label,LCX,11,0.10455977718382986,1.344166453454332,77.01506474600124,9.712017343397392,219.89029715012717,85.59101248086671,15.3232421875,218.4775390625,81.45000076293945,5.9102378399469915,-3.9497590185655085,7.115455552052951
1.label,LCX,12,0.11693535606745391,1.3561357040818305,77.70085229089122,9.502927681172636,220.3272245214363,85.163506851812,14.9462890625,218.8544921875,80.95000076293945,5.7548670776761846,-4.04347031859197,7.039371933355537
1.label,LCX,13,0.12931093495107795,1.3681542990235172,78.38946705672714,9.286360237355012,220.7646006663048,84.73555910775403,14.5693359375,219.2314453125,80.45000076293945,5.606931597359227,-4.13718161861843,6.973263792087073
1.label,LCX,14,0.13991356591740187,1.3779995354728356,78.95355755358145,9.104037603519558,221.12183077548977,84.38602745188543,14.5693359375,219.6083984375,79.95000076293945,5.819487928927532,-4.231004911551515,7.199881673064048
1.label,LCX,15,0.1522891448010259,1.3900428192572607,79.64358688590735,8.875014755039558,221.55747125056948,83.95977242838391,14.1923828125,219.9853515625,79.45000076293945,5.685163012628322,-4.324716211577975,7.147307454318865
1.label,LCX,16,0.15867186908590225,1.3942965794708495,79.88730939320666,8.792551711289391,221.7109774946883,83.80957259492283,14.1923828125,220.3623046875,79.45000076293945,5.781992837961533,-4.061118327447016,7.069862857274774
1.label,LCX,17,0.1710474479695263,1.4063712705989768,80.57913823377241,8.554023375232418,222.14564858200808,83.38426191221618,13.8154296875,220.7392578125,78.95000076293945,5.657826790222335,-4.154829627473477,7.023033768914371
1.label,LCX,18,0.18165007893585022,1.4142548648728823,81.0308349130607,8.394749439650795,222.4285691548689,83.10743220885811,13.4384765625,220.7392578125,78.45000076293945,5.4390598616684915,-4.512138811630899,7.069980464941396
1.label,LCX,19,0.19067661418441048,1.4209251176096502,81.4130122431631,8.257814559365983,222.66738954111648,82.87375224512658,13.0615234375,221.1162109375,78.45000076293945,5.192957628218844,-4.248428934593314,6.712030335325815
1.label,LCX,20,0.20127924515073442,1.428907506305117,81.87036942584628,8.091331880422075,222.95250293210887,82.59477444882567,12.6845703125,221.1162109375,77.95000076293945,4.98010059617723,-4.605738118750735,6.785553048682426
1.label,LCX,21,0.21030578039929465,1.4356748408059592,82.2581091312978,7.9479701240749705,223.19361871448635,82.35884637146634,12.3076171875,221.4931640625,77.95000076293945,4.739015143486175,-4.342028241713153,6.4293069720553335
1.label,LCX,22,0.2193323156478549,1.4424900859386274,82.64859391374677,7.8015411405489345,223.4358745853712,82.12180174201517,11.9306640625,221.8701171875,77.95000076293945,4.500258986622711,-4.078318364675568,6.074963023968722
1.label,LCX,23,0.22571503993273126,1.445093251056092,82.79774428835317,7.745068678002326,223.528254628152,82.0314086514477,11.5537109375,221.8701171875,77.95000076293945,4.155064837976122,-4.078206371768945,5.823492593392813
1.label,LCX,24,0.23474157518129152,1.4520013672123215,83.19355018849126,7.593756583341829,223.77299192784585,81.7919345658451,11.1767578125,222.2470703125,77.95000076293945,3.9195604682407286,-3.8144964947313613,5.470538358355389
1.label,LCX,25,0.24376811042985178,1.4589578162084371,83.5921253563667,7.43926463114984,224.01882290299096,81.55138928433031,10.7998046875,222.6240234375,77.95000076293945,3.6864539684817346,-3.550786617693777,5.11944277253625
1.label,LCX,26,0.25015083471472815,1.4616793876961778,83.74805991625738,7.378245072759022,224.1148278335123,81.45744830288841,10.4228515625,222.6240234375,77.95000076293945,3.3434343049738984,-3.550674624787154,4.877941642746092
