case_id,origin_x,origin_y,origin_z,R_00,R_01,R_02,R_10,R_11,R_12,R_20,R_21,R_22,delta_theta_rad,determinant
1.label,-56.58837804508377,206.35919415509258,98.80008894636097,0.9953641317062677,-0.0685451309409601,0.06746710559164656,0.09617773673781167,0.7115484836244782,-0.6960234180023672,-0.00029710035332179593,0.6992855786272104,0.7148423541280886,-1.5939850919151874,1.0
2.label,-33.76847464139344,171.3637188353825,-236.68659981482668,-0.22389444241428488,0.11044052687244592,0.9683357726946439,-0.826829165665967,-0.547523674646014,-0.1287297809609218,0.51596977572346,-0.8294701415519804,0.21390295653314392,1.1622826011502634,1.0
3.label,-38.984890712780896,219.37615212429776,135.8567385212759,0.8612240105549821,-0.35735500119206054,0.36137322364366514,0.5073855123557064,0.6454276078664067,-0.5709493365048999,-0.029208654455988158,0.6750708156385302,0.7371745033423228,-1.357335942195093,1.0
4.label,-27.6511876821845,183.01619968492798,481.91366104105043,-0.07925499224633228,-0.15934374387715983,0.9840366951954809,-0.953057454305941,-0.2772737046778922,-0.12165846245155512,0.29223301489721054,-0.947485548164935,-0.12988841758478564,1.3484333103059163,1.0000000000000002
5.label,-13.993255615234375,169.0871353149414,110.74687576293945,-0.788651051389891,-0.42634172467561304,0.4430149579215624,-0.1882264385611277,-0.518524424859323,-0.8340882619069173,0.5853207043734349,-0.7411917124637406,0.3286860483909442,0.346114118891155,1.0000000000000002
6.label,-15.476541498655914,184.79757854502688,-246.59703080372145,-0.23563230518882713,-0.05870032914219098,0.9700678780941042,-0.8217257969612516,-0.5209125473384152,-0.23112081826135727,0.5188873975727252,-0.8515893314174396,0.07450824958488012,0.9556588968334665,0.9999999999999999
7.label,-32.37789875565611,187.74908088235293,-226.78641313233527,0.9928061499714238,-0.006852203020023482,0.11953658809206112,0.061711527505020645,0.8848233555325549,-0.4618217371206201,-0.10260426868271996,0.4658762462477373,0.8788809289262123,-1.5298508120368683,1.0
8.label,-58.65137493799603,150.76870969742063,93.84583409627278,0.2606435921278093,-0.5188711168646281,0.8141484397616725,0.6814821696216332,-0.49845151953676375,-0.5358433867831931,0.6838471834924114,0.6944917902719547,0.22368321992127968,-0.9739920098068752,1.0
9.label,-34.6322337962963,194.39641203703704,21.86203779997649,0.3335228093684755,0.6208776602898445,0.709417695426304,-0.5530086939785678,-0.48059015793680576,0.6805986221543465,0.7635076424077747,-0.6193093177462169,0.18306296440743294,1.0402248659736286,1.0000000000000002
10.label,-16.926151072485208,171.49188701923077,72.58017732405804,-0.3922442043735254,-0.014246348894543145,0.9197507954215398,-0.7447091036677442,-0.5820091017675496,-0.32660948604428963,0.5399563269837341,-0.8130574684503581,0.21768031134516952,-1.2271503480166923,1.0
11.label,-16.11703426888173,146.29333238802693,108.8223661025179,0.6011933930834622,0.7653502282326986,0.229794543575233,-0.5295112239559654,0.1661721307752592,0.831868190675822,0.5984850606468378,-0.621792450177522,0.5051631232431606,1.647485968456738,0.9999999999999998
12.label,-38.576755234117165,185.10241658931517,-258.97077987217665,0.9742617578701248,0.2208866541300784,-0.04497903043678595,-0.198128602241525,0.7439228890961952,-0.6382192351007526,-0.10751318117158364,0.6307042263264051,0.7685395856872808,-1.91411659327217,1.0
13.label,-14.486684820434299,160.7281154301225,282.21280318432235,-0.7514468392215649,-0.6098408449503497,0.25183683537990165,-0.017546447073578306,-0.3630844233151789,-0.9315910174217966,0.6595602853560955,-0.7044599671919816,0.26213810216154826,-0.07576759970445673,1.0000000000000004
14.label,-24.593082655997577,161.80696404230613,71.6995959320438,0.31228051065069207,-0.1369931844714271,0.9400605034124774,-0.932634193213175,0.14407773121654086,0.3308097172350058,-0.18076046115606478,-0.9800379965980257,-0.08277186059751852,1.2273674117969715,1.0
15.label,-32.83954696784805,158.92082880146435,173.4134944015529,0.9314538507299349,0.06795716370616432,0.3574570573668811,-0.3140300052357195,-0.3460841675712209,0.884087611477612,0.1837903146850511,-0.9357390516899189,-0.3010208420864264,0.43797693124980025,1.0
16.label,-21.620233260697304,166.77118413232964,-204.49452028108286,-0.1607381850390094,0.1293287981383214,0.978487249708683,-0.8396648114805906,-0.5389944222311438,-0.06669345668789071,0.5187737852201374,-0.8323214972447923,0.19522982608340855,1.23530099391987,0.9999999999999999
17.label,-53.86661116803279,175.37685706967213,-228.37129926837858,0.10353225469741434,0.04153903245261653,0.9937583111703622,0.7634959916335555,-0.6436638321408267,-0.05263783765771137,0.6374597579430121,0.7641802012462023,-0.09835485258262669,-0.38634606850103315,1.0000000000000002
18.label,-2.217901882857834,195.19725618048838,102.9229214592644,-0.5268711232583168,0.18974377022294184,0.828495094214868,-0.8432620233543328,-0.23869351422114332,-0.4815958536336432,0.10637659256094058,-0.9523773978472738,0.28576443554924635,0.4941564688709437,1.0
19.label,-48.478756838279374,169.17829408348322,167.62385785951318,0.7613732460141992,-0.2219696362935449,0.6091307419737682,0.6371566312741531,0.42975210481985837,-0.6398004029588248,-0.1197589557284751,0.8752386011634844,0.4686311807340739,-0.6684387419232934,1.0000000000000002
20.label,-42.424312943262414,185.62936613475176,-249.43367573623115,-0.420257192358073,0.3404918759525655,0.8410999790046438,-0.5945069918241187,-0.8035936100111052,0.028262105752348766,0.6855255859145937,-0.4881624651277713,0.5401407952532661,1.4756629723331642,1.0000000000000002
21.label,-45.54543022260274,192.4976321703767,34.78219254376137,-0.6186827846401111,-0.6758886942378272,0.400507284567264,0.22537078503351657,-0.6410425575410001,-0.7336705314203847,0.7526218314952966,-0.3636466862529874,0.5489275601879422,0.0687119681658556,1.0
22.label,-20.49085759437322,164.77289496527777,140.72065221889747,0.24808847640046153,-0.27623148334590764,0.9285193996281486,-0.9017833369994536,-0.4159976165482839,0.11718701351377257,0.3538911145923669,-0.866396070301953,-0.3523051637116687,-1.2759815087904796,1.0000000000000002
23.label,-49.80280949519231,174.76637620192307,96.23994159134182,-0.290421573541421,0.41571676122344536,0.8618786945154253,-0.7295241550811103,-0.6790564770257369,0.08171173821787767,0.6192332490870602,-0.6050304748087354,0.5004880695658981,-1.5392072605533778,1.0
24.label,-19.132710911283556,168.54249357697148,90.98439673609381,0.08451095008680971,0.13997821307890665,0.9865414330775272,-0.9912753905115744,-0.0886940703461218,0.0975010874378476,0.10114840325754214,-0.9861741538636436,0.13126133768088846,1.7430869930195416,0.9999999999999999
